iter	Passed	Remaining
0	16	16203
1	32	16016
2	49	16353
3	65	16288
4	85	17048
5	104	17316
6	120	17164
7	137	17093
8	154	17066
9	210	20868
10	227	20428
11	245	20248
12	260	19807
13	277	19519
14	292	19194
15	310	19072
16	326	18873
17	344	18816
18	361	18661
19	381	18709
20	400	18676
21	423	18810
22	443	18832
23	459	18704
24	478	18662
25	493	18491
26	511	18429
27	528	18343
28	545	18265
29	562	18190
30	578	18067
31	594	17979
32	611	17910
33	627	17829
34	645	17795
35	661	17724
36	678	17648
37	697	17651
38	715	17641
39	738	17724
40	758	17748
41	777	17724
42	795	17710
43	813	17675
44	832	17659
45	850	17629
46	870	17657
47	893	17721
48	918	17827
49	941	17888
50	958	17832
51	980	17882
52	1007	18006
53	1027	18007
54	1054	18121
55	1071	18066
56	1092	18077
57	1112	18065
58	1131	18044
59	1153	18077
60	1171	18040
61	1189	17997
62	1204	17910
63	1222	17876
64	1237	17807
65	1254	17749
66	1271	17708
67	1290	17682
68	1307	17643
69	1324	17598
70	1344	17585
71	1360	17539
72	1376	17481
73	1395	17464
74	1413	17427
75	1431	17402
76	1450	17382
77	1468	17356
78	1486	17330
79	1503	17286
80	1521	17257
81	1538	17224
82	1556	17194
83	1576	17194
84	1596	17186
85	1612	17141
86	1629	17101
87	1645	17058
88	1661	17006
89	1676	16950
90	1692	16903
91	1708	16861
92	1725	16826
93	1745	16823
94	1760	16769
95	1775	16718
96	1792	16689
97	1806	16628
98	1823	16592
99	1835	16522
100	1854	16508
101	1871	16480
102	1890	16465
103	1906	16428
104	1924	16400
105	1938	16347
106	1953	16306
107	1971	16279
108	1986	16237
109	2003	16213
110	2018	16162
111	2032	16111
112	2049	16085
113	2069	16081
114	2085	16049
115	2101	16016
116	2115	15968
117	2137	15973
118	2154	15953
119	2173	15938
120	2191	15916
121	2207	15884
122	2222	15843
123	2240	15826
124	2257	15805
125	2276	15787
126	2294	15773
127	2312	15752
128	2327	15712
129	2345	15693
130	2364	15686
131	2385	15688
132	2402	15663
133	2418	15630
134	2434	15601
135	2454	15594
136	2474	15589
137	2493	15578
138	2511	15555
139	2527	15525
140	2543	15496
141	2561	15480
142	2578	15450
143	2594	15422
144	2615	15420
145	2634	15408
146	2654	15401
147	2670	15375
148	2688	15355
149	2707	15340
150	2725	15323
151	2741	15294
152	2759	15277
153	2774	15242
154	2790	15213
155	2806	15182
156	2828	15188
157	2844	15158
158	2861	15137
159	2879	15115
160	2893	15080
161	2909	15049
162	2927	15033
163	2946	15019
164	2963	14995
165	2979	14970
166	2995	14943
167	3011	14915
168	3028	14889
169	3045	14871
170	3063	14851
171	3079	14826
172	3096	14804
173	3114	14786
174	3132	14765
175	3150	14751
176	3166	14724
177	3182	14695
178	3200	14677
179	3214	14643
180	3230	14617
181	3247	14597
182	3267	14586
183	3282	14558
184	3296	14524
185	3317	14519
186	3333	14494
187	3350	14471
188	3369	14458
189	3384	14428
190	3399	14398
